epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
26,41.3084,0.02593,1,1,0.00434,0.000863281,0.000863281,0.000863281
27,42.9012,0.12641,1,1,0.00154,0.000847813,0.000847813,0.000847813
28,44.4717,0.38155,1,1,0.00154,0.000832344,0.000832344,0.000832344
29,46.0101,0.07719,1,1,0.00153,0.000816875,0.000816875,0.000816875
30,47.6755,0.01211,1,1,0.00152,0.000801406,0.000801406,0.000801406
31,49.2436,0.03173,1,1,0.00081,0.000785938,0.000785938,0.000785938
32,50.9021,0.02104,1,1,0.00083,0.000770469,0.000770469,0.000770469
33,52.4352,0.00583,1,1,0.00081,0.000755,0.000755,0.000755
34,53.9965,0.05106,1,1,0.00079,0.000739531,0.000739531,0.000739531
35,55.5351,0.11701,1,1,0.00079,0.000724062,0.000724062,0.000724062
36,57.1807,0.01526,1,1,0.00079,0.000708594,0.000708594,0.000708594
37,58.7,0.00928,1,1,0.00078,0.000693125,0.000693125,0.000693125
38,60.3218,0.00796,1,1,0.00058,0.000677656,0.000677656,0.000677656
39,61.9537,0.04388,1,1,0.00058,0.000662188,0.000662188,0.000662188
40,63.6435,0.09253,1,1,0.00058,0.000646719,0.000646719,0.000646719
41,65.2053,0.01772,1,1,0.00058,0.00063125,0.00063125,0.00063125
42,66.7884,0.05505,1,1,0.00039,0.000615781,0.000615781,0.000615781
43,68.3358,0.00326,1,1,0.00039,0.000600313,0.000600313,0.000600313
44,69.9234,0.0549,1,1,0.00038,0.000584844,0.000584844,0.000584844
45,71.5661,0.00394,1,1,0.0004,0.000569375,0.000569375,0.000569375
46,73.1426,0.01079,1,1,0.00038,0.000553906,0.000553906,0.000553906
47,74.7188,0.00487,1,1,0.00041,0.000538438,0.000538438,0.000538438
48,76.277,0.01478,1,1,0.00042,0.000522969,0.000522969,0.000522969
49,77.904,0.03215,1,1,0.00029,0.0005075,0.0005075,0.0005075
50,79.4436,0.03255,1,1,0.0003,0.000492031,0.000492031,0.000492031
51,81.0257,0.06558,1,1,0.00032,0.000476562,0.000476562,0.000476562
52,82.5871,0.02614,1,1,0.00031,0.000461094,0.000461094,0.000461094
53,84.1393,0.00454,1,1,0.00019,0.000445625,0.000445625,0.000445625
54,85.6955,0.00224,1,1,0.00019,0.000430156,0.000430156,0.000430156
55,87.3778,0.00742,1,1,0.00018,0.000414688,0.000414688,0.000414688
56,88.9218,0.00153,1,1,0.00019,0.000399219,0.000399219,0.000399219
57,90.4948,0.01041,1,1,0.00014,0.00038375,0.00038375,0.00038375
58,92.1499,0.03129,1,1,0.00014,0.000368281,0.000368281,0.000368281
59,93.6986,0.02589,1,1,0.00015,0.000352812,0.000352812,0.000352812
60,95.2759,0.00328,1,1,0.00015,0.000337344,0.000337344,0.000337344
61,96.8345,0.05344,1,1,0.00017,0.000321875,0.000321875,0.000321875
62,98.4259,0.01663,1,1,0.00017,0.000306406,0.000306406,0.000306406
63,99.9515,0.03819,1,1,0.00018,0.000290937,0.000290937,0.000290937
64,101.579,0.00147,1,1,0.00011,0.000275469,0.000275469,0.000275469
65,103.08,0.00662,1,1,0.0001,0.00026,0.00026,0.00026
66,104.624,0.00375,1,1,0.00011,0.000244531,0.000244531,0.000244531
67,106.117,0.00403,1,1,0.00011,0.000229063,0.000229063,0.000229063
68,107.743,0.00177,1,1,0.00011,0.000213594,0.000213594,0.000213594
69,109.311,0.00215,1,1,0.0001,0.000198125,0.000198125,0.000198125
70,110.976,0.00327,1,1,0.0001,0.000182656,0.000182656,0.000182656
71,112.555,0.00017,1,1,0.0001,0.000167188,0.000167188,0.000167188
72,114.059,0.00108,1,1,8e-05,0.000151719,0.000151719,0.000151719
73,115.639,0.0103,1,1,9e-05,0.00013625,0.00013625,0.00013625
74,117.276,0.0058,1,1,8e-05,0.000120781,0.000120781,0.000120781
75,118.809,0.00455,1,1,8e-05,0.000105312,0.000105312,0.000105312
76,120.352,0.06006,1,1,8e-05,8.98437e-05,8.98437e-05,8.98437e-05
77,121.984,0.00087,1,1,8e-05,7.4375e-05,7.4375e-05,7.4375e-05
78,123.518,0.0006,1,1,8e-05,5.89062e-05,5.89062e-05,5.89062e-05
79,125.111,0.00215,1,1,0.00012,4.34375e-05,4.34375e-05,4.34375e-05
80,126.729,0.00025,1,1,0.00012,2.79687e-05,2.79687e-05,2.79687e-05
