epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.347,1.38579,1.83797,1.37232,0.42406,0.33276,0.31541,0.15563,1.73907,1.91438,1.59057,0.000664502,0.000664502,0.000664502
2,710.505,1.45454,1.47887,1.40245,0.52731,0.35179,0.37228,0.19545,1.65852,1.70363,1.49712,0.0010017,0.0010017,0.0010017
3,1065.4,1.39842,1.42279,1.38021,0.57701,0.4314,0.45976,0.24297,1.54087,1.49212,1.42705,0.00100891,0.00100891,0.00100891
4,1422.96,1.34732,1.34914,1.35176,0.62773,0.45068,0.50042,0.30258,1.42149,1.35379,1.35384,0.000515,0.000515,0.000515
